"X","title","console","genre","critic_score","total_sales"
692,"SpongeBob SquarePants: Battle for Bikini Bottom","PS2","Platform",5.8,1.67
693,"NCAA Football 2004","PS2","Sports",8.1,1.67
696,"PGR: Project Gotham Racing 2","XB","Racing",8.9,1.67
704,"Shaun White Snowboarding: Road Trip","Wii","Sports",7.8,1.66
709,"Need for Speed Carbon","X360","Racing",7.9,1.65
710,"MySims","Wii","Simulation",7.1,1.65
718,"Army of Two","X360","Shooter",6.7,1.64
722,"Ape Escape","PS","Platform",9.3,1.63
725,"Uncharted: Golden Abyss","PSV","Action",7.9,1.62
726,"The Order: 1886","PS4","Shooter",6.2,1.62
729,"Call of Duty: Black Ops","PC","Shooter",8.5,1.62
731,"Rock Band","PS3","Misc",9.1,1.62
732,"Kinectimals","X360","Simulation",7.5,1.62
736,"Tom Clancy's Ghost Recon Wildlands","XOne","Shooter",7.7,1.61
740,"Rage","X360","Shooter",7.9,1.6
742,"Just Cause 2","X360","Action",8,1.6
744,"Pro Evolution Soccer 2008","PS3","Sports",7.1,1.59
745,"Soul Blade","PS","Fighting",8.6,1.59
747,"LEGO Harry Potter: Years 1-4","X360","Adventure",7.9,1.59
748,"Far Cry 2","X360","Shooter",8.5,1.59
749,"Sonic Generations","PS3","Platform",7.3,1.59
751,"FIFA 16","X360","Sports",9,1.59
